1,1-2-3 Database Techniques,"Dick Anderson, Bill Weil",89,10,15,,Que,9.78E+12,,,464
2,10 Minute Guide to Access 97,Faithe Wempen,96,12,17,1,Que,9.78E+12,,10 Minute Guide Series,214
3,10 Minute Guide to Lotus Notes,"Susan Plumley, Kate Miller, Sue Plumley",96,2,1,,Alpha Books,9.78E+12,,10 Minute Guide Series,193
4,11th International Workshop on Database and Expert Systems Applications 2000,,00,1,28,,IEEE Computer Society Press,9.78E+12,,,1194
5,"18th International Conference on Scientific and Statistical Database Management: 03-05 July 2006/Vienna, Austria",IEEE Computer Society Staff,06,7,1,,IEEE Computer Society Press,9.78E+12,,,416
6,"1999 International Symposium on Database Applications in Non-Traditional Environments: Proceedings, November 28-30, 1999, Kyoto, Japan","IEEE Computer Society, Yahiko Kambayashi (Editor)",00,2,28,,IEEE Computer Society Press,9.78E+12,,,350
7,"2002 Sunset Review, Colorado Motorist Insurance Identification Database Program",Colorado Department of Regulatory Agenci (Created by),13,3,19,,BiblioGov,9.78E+12,,,48
8,21 Recipes for Mining Twitter,Matthew A. Russell,11,3,7,1,"O'Reilly Media, Incorporated",9.78E+12,,,72
9,50 Tips and Tricks for MongoDB Developers,Kristina Chodorow,11,5,6,1,"O'Reilly Media, Incorporated",9.78E+12,,,68
10,70-432: Microsoft SQL Server 2008 Implementation and Maintenance Textbook and Lab Manual Set,Microsoft Official Academic Course Staff,11,2,15,1,Wiley,9.78E+12,,,648
11,"70-443 and 70-450: Microsoft SQL Server Database Design and Optimization, Package",Microsoft Official Academic Course,09,12,21,1,Wiley,9.78E+12,,,456
12,77-424 Microsoft Access 2013,Microsoft Official Academic Course,13,12,31,1,Wiley,9.78E+12,,"Microsoft Official Academic Course Series,#378",528
13,Database Administration Fundamentals: MTA 98-364,Microsoft Official Academic Course,11,7,12,1,Wiley,9.78E+12,,,144
14,A Compilation of Spatial Digital Databases for Selected U.S. Geological Survey Nonfuel Mineral Resource Assessments for Parts of Idaho and Montana: Open-File Report 2007-1101,"United U.S. Department of the Interior (Created by), et al., Mary H. Carlson",13,2,8,,BiblioGov,9.78E+12,,,38
15,A Course in In-Memory Data Management: The Inner Mechanics of In-Memory Databases,Hasso Plattner,13,5,31,1,Springer Berlin Heidelberg,9.78E+12,,,297
16,"A Data Base of Nutrient Use, Water Use, Co2 Exchange, and Ethylene Production by Soybeans in a Controlled Environment","R. M. Wheeler, Nasa Technical Reports Server (Ntrs), Et Al",13,8,2,,BiblioGov,9.78E+12,,,44
17,A First Course in Database Systems,"Jeffrey Ullman, Jennifer D. Widom",01,10,28,2,Prentice Hall,9.78E+12,,GOAL Series,528
18,"A Future for Knowledge Acquisition: 8th European Knowledge Acquisition Workshop, EKAW'94, Hoegaarden, Belgium, September 26 - 29, 1994. Proceedings","Luc Steels (Editor), Guus Schreiber (Editor), Walter Van de Velde (Editor)",94,10,21,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence Series,#867",424
19,A Fuzzy Logic Approach to Property Searching in a Property Database,Slaby Jiri,12,12,28,,AV Akademikerverlag GmbH & Co. KG.,9.78E+12,,,168
20,A GIS-Database Centric Architeture for 3D-Mmog Virtual Worlds,Hor Abdel-Hadi,13,5,11,,AV Akademikerverlag GmbH & Co. KG.,9.78E+12,,,128
21,A Global Geochemical Database for Environment and Resource Management: Final Report of IGCP Project 259,"UNESCO, A G. Darnley",95,1,1,,Bernan Associates,9.79E+12,,Earth Sciences,122
22,A Guide On,"Sandra Raby, Lisa Ruggeri",06,9,28,,AuthorHouse,9.78E+12,,,164
23,"A Guide to Behavioral Neuroscience Including History of Neuroscience, List of Neuroscientists and Databases, Concepts, Theory, Experimental Methods, and More",Catherine Venue,12,2,28,,Webster's Digital Services,9.78E+12,,,290
24,A Guide to SQL,Philip J. Pratt,15,1,1,9,Cengage Learning,9.78E+12,,,336
25,A Methodology for Processing Raw LIDAR Data to Support Urban Flood Modelling Framework: UNESCO-IHE PhD Thesis,Ahmad Fikri Bin Abdullah,12,4,12,,CRC Press,9.78E+12,,,220
26,A new integrated web centric database-batch coupled framework for object recognition and classification in security applications.,Sampathkumar Veeraraghavan,12,5,11,,BiblioLabsII,9.78E+12,,,140
27,A Pascal Database Book,Julian Ullman,86,2,1,,"Oxford University Press, USA",9.78E+12,,Oxford Applied Mathematics and Computing Science Series,280
