1,"Building the Data Warehouse by Inmon, W. H. Paperback",,0,,,,Wiley,,,,
2,Joint Application Design: How to Design Quality Systems in 40% Less Time,Jane Wood;Denise Silver;,89,8,9,1,Wiley,9.78E+12,English,,350
3,Oracle Mobile Application Framework Developer Guide: Build Multiplatform Enterprise Mobile Apps,Luc Bors;,14,10,6,1,McGraw-Hill Osborne Media,9.78E+12,English,,464
4,OCA/OCP Java SE 7 Programmer I & II Practice Exams,Bert Bates;Katherine Sierra;,15,3,22,2,McGraw-Hill Osborne Media,9.78E+12,English,Oracle Press,656
5,JasperReports 3.5 for Java Developers,David Heffelfinger;,9,9,5,,Packt Publishing,9.78E+12,English,,350
6,Professional Microsoft SQL Server 2008 Administration,Brian Knight;Ketan Patel;Wayne Snyder;,8,11,3,1,Wrox,9.78E+12,English,,912
7,Managing and Mining Sensor Data,Charu C. Aggarwal;,13,1,15,2013,Springer,9.78E+12,English,,534
8,Microsoft SQL Server 2008 Reporting Services,Brian Larson;,8,9,11,3,McGraw-Hill Osborne Media,9.78E+12,English,,866
9,Formal Ontology in Information Systems,N. Guarino;,98,1,1,,IOS Press,9.79E+12,English,Frontiers in Artificial Intelligence and Applications,347
10,SQL Server Integration Services Design Patterns,Andy Leonard;Matt Masson;Tim Mitchell;,14,11,5,2,Apress,9.78E+12,English,,440
11,"The Data Model Resource Book, Vol. 2: A Library of Data Models for Specific Industries",Len Silverston;,1,3,7,"Revised Edition, Volume 2",Wiley,9.78E+12,English,,576
12,Introduction to Data Mining with Case Studies,G.K. Gupta;,11,5,10,,Prentice-Hall of India Pvt.Ltd,9.79E+12,English,,508
13,Informix -4Gl by Example,Informix Press;,94,7,,,Prentice Hall,9.78E+12,English,,732
14,Advanced Oracle Soa Suite 11g in 21 Days,Eaiesb;Consultants Network;,13,10,2,,ConsultantsNetwork,9.78E+12,English,,1080
15,"Data Mining: Practical Machine Learning Tools and Techniques, Second Edition ",Ian H. Witten;Eibe Frank;,5,6,10,2,Morgan Kaufmann,9.78E+12,English,The Morgan Kaufmann Series in Data Management Systems,560
16,Microsoft Excel 2010: Comprehensive,Gary B. Shelly;Jeffrey J. Quasney;,11,2,22,1,Cengage Learning,9.78E+12,English,Shelly Cashman,920
17,"Data Warehouse Technologien: Technische Grundlagen von K並__ppen, Veit Broschiert",Veit K並__ppen;,0,,,,mitp,,German,,
18,Advanced Oracle Utilities: The Definitive Reference,Bert Scalzo;Donald Burleson;Steve Callan;,14,3,21,,Rampant TechPress,9.78E+12,English,Oracle In-Focus,748
19,Microsoft ADO.NET Entity Framework Step by Step,John Paul Mueller;,13,8,25,1,Microsoft Press,9.78E+12,English,Step by Step Developer,448
20,Coding for Data and Computer Communications,David Salomon;,5,4,12,2005,Springer,9.78E+12,English,,548
21,Effective Data Base Design,William H. Inmon;,81,2,,First,Prentice Hall,9.78E+12,English,Prentice-Hall Series in Data Processing Management,303
22,Data Warehousing und Internet,Dietmar Neu;,98,1,1,,Diplomarbeiten Agentur diplom.de,9.78E+12,German,,98
23,Microsoft SQL Server 2012 Administration: Real-World Skills for MCSA Certification and Beyond,Tom Carpenter;,13,6,17,1,Sybex,9.78E+12,English,,936
24,Conceptual Schema and Relational Database Design: A Fact Oriented Approach,G. M. Nijssen;T. A. Halpin;,89,8,,,Prentice Hall,9.78E+12,English,,356
25,Matrix Methods in Data Mining and Pattern Recognition,Lars Eld並_n;,7,4,9,,Society for Industrial and Applied Mathematics,9.78E+12,English,Fundamentals of Algorithms (Book 4),224
26,Oracle PL/SQL by Example,Benjamin Rosenzweig;Elena Rakhimov;,15,1,25,5,Prentice Hall,9.78E+12,English,Prentice Hall Professional Oracle Series,832
27,"Joe Celko's Trees and Hierarchies in SQL for Smarties, Second Edition ",Joe Celko;,12,2,3,2,Morgan Kaufmann,9.78E+12,English,The Morgan Kaufmann Series in Data Management Systems,296
28,Microsoft Access VBA Programming for the Absolute Beginner,Michael Vine;,7,4,17,3,Cengage Learning PTR,9.78E+12,English,,384
29,"Databases in Networked Information Systems: International Workshop DNIS 2000 Aizu, Japan, December 4-6, 2000 Proceedings ",Subhash Bhalla;,0,11,22,,Springer,9.78E+12,English,Lecture Notes in Computer Science (Book 1966),250
30,A computer vocational education in the 21st century family planning materials: SQL language and relational database,HUANG HE;,11,1,1,,Publishing House of Electronics Industry,9.79E+12,,,
31,Database Design for Smarties: Using UML for Data Modeling,Robert J. Muller;,99,3,8,1,Morgan Kaufmann,9.78E+12,English,The Morgan Kaufmann Series in Data Management Systems,464
32,Principles of Data Integration,AnHai Doan;Alon Halevy;Zachary Ives;,12,7,9,1,Morgan Kaufmann,9.78E+12,English,,520
33,e-Data: Turning Data Into Information With Data Warehousing,Jill Dych並_;,0,2,25,1,Addison-Wesley Professional,9.78E+12,English,,368
34,Visual C# and Databases - Professional Edition,Philip Conrod;,13,2,18,2012 Update,Kidware Software,9.78E+12,English,,910
35,"Data Warehouse Design: Modern Principles and Methodologies by Golfarelli, Matteo, Rizzi, Stefano published by McGraw-Hill Osborne ",,100,,,,McGraw-Hill Osborne,,,,
36,Oracle Database Foundations: Technology Fundamentals for IT Success,Bob Bryla;,4,9,28,1,Sybex,9.78E+12,English,,349
37,Advanced Data Warehouse Design byZim並_並_nyi,Zim並_並_nyi;,11,,,,Springer,,,,
38,"Business Intelligence: Third European Summer School, eBISS 2013, Dagstuhl Castle, Germany, July 7-12, 2013, Tutorial Lectures ",Esteban Zim並_並_nyi;,14,4,30,,Springer,9.78E+12,English,Lecture Notes in Business Information Processing (Book 172),243
39,SQL Backup and Recovery Joes 2 Pros : Techniques for Backing Up and Restoring Databases in SQL Server,Tim Radney;,12,10,9,,Joes 2 Pros International LLC,9.78E+12,English,,152
40,"Grid and Cooperative Computing - GCC 2004 Workshops: GCC 2004 International Workshops, IGKG, SGT, GISS, AAC-GEVO, and VVS, Wuhan, China, October 21-24, 2004 ",Hai Jin;Yi Pan;Nong Xiao;,4,12,3,,Springer,9.78E+12,English,Lecture Notes in Computer Science (Book 3252),794
41,Data Quality in Practices,Laure Berti-Equille;,13,12,9,1,Wiley-ISTE,9.78E+12,English,FOCUS Series,192
42,Serious ADO: Universal Data Access with Visual Basic,Robert MacDonald;,0,8,8,,Apress,9.78E+12,English,,611
43,Database Design and Relational Theory: Normal Forms and All That Jazz,C. J. Date;,12,4,27,1,O'Reilly Media,9.78E+12,English,Theory in Practice,278
44,"Big Data, Data Mining, and Machine Learning: Value Creation for Business Leaders and Practitioners ",Jared Dean;,14,5,27,1,Wiley,9.78E+12,English,Wiley and SAS Business Series,288
45,"Advances in Databases: 17th British National Conference on Databases, BNCOD 17 Exeter, UK, July 3-5, 2000 Proceedings ",Brian Lings;Keith Jeffery;,0,7,31,2000,Springer,9.78E+12,English,Lecture Notes in Computer Science (Book 1832),226
46,Beginning Visual Basic 6 Database Programming,John Connell;,98,8,,1st,Apress,9.78E+12,English,,880
47,SAS Programming Guidelines Interview Questions You'll Most Likely Be Asked,Vibrant Publishers;,12,11,1,,CreateSpace Independent Publishing Platform,9.78E+12,English,,156
48,Dashboarding and Reporting with Power Pivot and Excel: How to Design and Create a Financial Dashboard with PowerPivot 並__ End to End,Kasper de Jonge;,14,7,15,,Holy Macro! Books,9.78E+12,English,,175
49,Database Programming With C#,Carsten Thomsen;,2,4,9,1st,Apress,9.78E+12,English,Expert's Voice,696
50,SQL Server DMVs in Action: Better Queries with Dynamic Management Views,Ian W. Stirk;,11,5,16,1,Manning Publications,9.78E+12,English,,375
51,Microsoft Access SQL Comprehensive: version 2010,Dr. Pindaro Epaminonda Demertzoglou;,12,10,2,,AlphaPress,9.78E+12,English,,450
52,FileMaker Pro 10: The Missing Manual,Susan Prosser;Geoff Coffey;,9,1,30,1,Pogue Press,9.78E+12,English,Missing Manual,832
53,Data Access Patterns: Database Interactions in Object-Oriented Applications,Clifton Nock;,3,9,21,1,Addison-Wesley Professional,9.78E+12,English,,512
54,"Digital Forensics and Cyber Crime: First International ICST Conference, ICDF2C 2009, Albany, Ny, USA, September 30 - October 2, 2009, Revised Selected ... and Telecommunications Engineering)",Sanjay Goel;,10,1,13,2010,Springer,9.78E+12,English,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering (Book 31)",171
55,Search Engine Visibility,Shari Thurow;,7,9,8,2,New Riders,9.78E+12,English,,312
56,Data Types and Persistence,Malcolm P. Atkinson;Peter Buneman;Ronald Morrison;,88,8,,,Springer-Verlag,9.78E+12,English,Topics in Information Systems,292
57,Expert Oracle JDBC Programming,R.M. Menon;,5,6,1,,Apress,9.78E+12,English,Oaktable Press,708
58,Mining Software Specifications: Methodologies and Applications,David Lo;Siau-Cheng Khoo;Jiawei Han;,11,5,24,1,CRC Press,9.78E+12,English,Chapman & Hall/CRC Data Mining and Knowledge Discovery Series (Book 17),460
59,Macromedia ColdFusion MX 7 Web Application Construction Kit,Ben Forta;Raymond Camden;Leon Chalnick;,5,4,2,1,Macromedia Press,9.78E+12,English,,1440
60,"Distributed Database Management Systems: A Practical Approach Saeed K. Rahimi, Frank S. Haug",,10,,,,Wiley-IEEE Computer Society Pr,,,,
61,Benchmark Series: Microsofta Access 2013 Levels 1 and 2: Text with Data Files CD,Nita Rutkosky;Denise Seguin;Audrey Rutkosky Roggenkamp;,14,1,30,,"EMC Paradigm,US",9.78E+12,English,Benchmark Series,768
62,Oracle JDeveloper 10g for Forms & PL/SQL Developers: A Guide to Web Development with Oracle ADF,Peter Koletzke;Duncan Mills;,6,9,7,1,McGraw-Hill Osborne Media,9.78E+12,English,Oracle Press,562
63,Oracle Web Application Programming for PL/SQL Developers,Susan Boardman;Melanie Caffrey;Solomon Morse;,2,12,28,1,Prentice Hall,9.78E+12,English,,745
64,MySQL Stored Procedure Programming,Guy Harrison;Steven Feuerstein;,6,4,4,,O'Reilly Media,9.78E+12,English,,640
65,"Building the Data Warehouse by Inmon, W H ",Inmon;,2,,,,"Wiley, Paperback(2002)",,,,
66,Data Resource Simplexity: How Organizations Choose Data Resource Success or Failure,Michael H. Brackett;,11,4,1,,"Technics Publications, LLC",9.78E+12,English,,642
67,"Formal Ontology in Information Systems: Proceedings of the Fourth International Conference, Volume 150 Frontiers in Artificial Intelligence and Applications",B. Bennett and C. Fellbaum;Editors;,6,10,1,,IOS Press,9.78E+12,English,Frontiers in Artificial Intelligence and Applications (Book 150),374
68,MOS 2013 Study Guide for Microsoft Access,John Pierce;,13,6,25,1,Microsoft Press,9.78E+12,English,MOS Study Guide,232
69,Microsoft Access User's Guide,Microsoft Corporation;,94,,,,Microsoft Press,,English,,819
70,"Oracle Internals: Tips, Tricks, and Techniques for DBAs",Donald K. Burleson;,1,7,30,1,Auerbach Publications,9.78E+12,English,,896
71,Inside Microsoft SQL Server 2008 T-SQL Programming,Itzik Ben-Gan;Dejan Sarka;Roger Wolter;,9,10,3,1,Microsoft Press,9.78E+12,English,Developer Reference,832
72,Oracle Wait Interface: A Practical Guide to Performance Diagnostics & Tuning,Richmond Shee;Kirtikumar Deshpande;K. Gopalakrishnan;,4,6,25,1st,McGraw-Hill Osborne Media,9.78E+12,English,Oracle Press,400
73,Computational Analysis of Terrorist Groups: Lashkar-e-Taiba,V.S. Subrahmanian;Aaron Mannes;Amy Sliva;,12,8,28,2013,Springer,9.78E+12,English,,234
74,MCTS Self-Paced Training Kit : Microsoft SQL Server 2008 Database Development,Tobias Thernstrom;Mike Hotek;Ann Weber;,9,5,30,1,Microsoft Press,9.78E+12,English,Microsoft Press Training Kit,496
75,Data Structures and Algorithms with Object-Oriented Design Patterns in Java,Bruno R. Preiss;,99,8,2,,Wiley,9.78E+12,English,,656
76,Database applications-ACCESS relational database tutorial,E DA WEI;,0,1,1,,Xiamen University Pub. Date :2010-12-1,9.79E+12,Chinese,,
77,"Multivariate Network Visualization: Dagstuhl Seminar # 13201, Dagstuhl Castle, Germany, May 12-17, 2013, Revised Discussions ",Andreas Kerren;Helen Purchase;Matthew O. Ward;,14,4,11,,Springer,9.78E+12,English,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI (Book 8380)",237
78,An Introduction to Database Systems,C.J. Date;,3,8,1,8,Addison-Wesley,9.78E+12,English,,1024
