1,American Sniper (Movie Tie-in Edition): The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,Scott McEwen,Jim DeFelice,HarperCollins Publishers,9780062376336,11/25/2014,416,5.20(w) x 7.90(h) x 1.40(d),2616,1037,4.3,$12.69,$19.61,$7.99,$21.98
2,The Autobiography of Malcolm X,Malcolm X,,,Random House Publishing Group,9780345350688,10/28/1987,496,4.20(w) x 6.80(h) x 1.10(d),2102,140,4.5,$7.99,$23.52,$7.99,
3,Assata: An Autobiography,Assata Shakur,,,"Chicago Review Press, Incorporated",9781556520747,11/28/1999,320,6.00(w) x 9.00(h) x 0.85(d),902,26,4.7,$13.26,,,
4,Autobiography of a Yogi,Paramahansa Yogananda,,,Self-Realization Fellowship,9780876120798,12/28/1978,592,7.52(w) x 4.62(h) x 1.02(d),2336,26,4.3,$8.50,$23.40,$4.99,$45.44
5,A Dog's Life: The Autobiography of a Stray,Ann M. Martin,,,"Scholastic, Inc.",9780439717007,01/01/2007,192,5.20(w) x 7.50(h) x 0.70(d),492,156,4.7,$7.99,,$6.49,
6,The Autobiography of James T. Kirk,David A. Goodman,,,Titan,9781783297467,09/08/2015,288,6.30(w) x 9.30(h) x 1.20(d),2364,,,$9.99,$14.87,$5.19,
7,The Reaper: Autobiography of One of the Deadliest Special Ops Snipers,Nicholas Irving,Gary Brozek,,St. Martin's Press,9781250045447,01/27/2015,320,6.20(w) x 9.20(h) x 1.20(d),20,16,4.2,$12.07,$18.79,$14.99,$20.92
8,Knots in My Yo-yo String: The Autobiography of a Kid,Jerry Spinelli,,,Random House Children's Books,9780679887911,06/28/2012,160,5.49(w) x 8.28(h) x 0.39(d),1309,55,4.0,$8.43,$21.00,$9.99,
9,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition",Mark Twain,,,University of California Press,9780520279940,10/15/2015,792,7.10(w) x 10.10(h) x 2.40(d),3493,,,,$32.35,$31.49,
10,Cash: The Autobiography,Johnny Cash,Patrick Carr,,HarperCollins Publishers,9780060727536,10/07/2003,320,6.00(w) x 9.00(h) x 0.82(d),1947,23,4.5,$12.67,,,
11,Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,,,"Little, Brown and Company",9780316323543,10/08/2013,656,5.40(w) x 8.20(h) x 1.80(d),1209,121,4.6,$14.40,,$9.99,$18.80
12,Freeway Rick Ross: The Untold Autobiography,Rick Ross,,,CreateSpace Publishing,9781499651539,06/11/2014,298,5.90(w) x 8.90(h) x 0.70(d),2058,4,5.0,$16.05,,$9.99,
13,The Autobiography of Eleanor Roosevelt,Eleanor Roosevelt,,,HarperCollins Publishers,9780062355911,10/21/2014,480,6.00(w) x 8.90(h) x 0.90(d),2736,26,4.4,$13.05,,$11.99,$30.38
14,The Autobiography of Benjamin Franklin,Benjamin Franklin,,,Dover Publications,9780486290737,06/07/1996,144,5.15(w) x 8.18(h) x 0.34(d),3602,199,3.5,$3.15,$18.99,$0.99,$14.99
15,One Direction: Who We Are: Our Official Autobiography,One Direction,,,HarperCollins UK,9780007577316,09/25/2014,352,6.10(w) x 9.30(h) x 1.50(d),589,131,4.6,,$16.27,$9.99,
16,Genome: The Autobiography of a Species in 23 Chapters,Matt Ridley,,,HarperCollins Publishers,9780060894085,05/30/2006,368,7.78(w) x 5.30(h) x 0.87(d),3626,34,4.4,$10.24,,$6.99,
17,Autobiography of a Face,Lucy Grealy,,,HarperCollins Publishers,9780060569662,03/18/2003,256,5.31(w) x 8.00(h) x 0.57(d),3426,56,4.4,$11.26,$13.51,$9.99,
18,Clapton: The Autobiography,Eric Clapton,,,Crown Publishing Group,9780767925365,05/27/2008,352,5.20(w) x 8.02(h) x 0.98(d),1606,130,3.9,$12.37,,$11.99,
19,Monster: The Autobiography of an L.A. Gang Member,Sanyika Shakur,,,"Grove/Atlantic, Inc.",9780802141446,06/09/2004,400,5.00(w) x 7.70(h) x 1.30(d),561,109,4.4,$13.12,,$10.49,
20,"America The Black Point of View - An Investigation and Study of the White People of America and Western Europe and The Autobiography of an American Ghetto Boy, The 1950s and 1960s",Tony Rose,,,"Amber Communications Group, Inc.",9781937269500,04/28/2015,552,6.00(w) x 9.00(h) x 1.30(d),3121,,,$18.76,,$7.00,
21,Black Beauty: The Autobiography of a Horse,Anna Sewell,Sewell,,Dover Publications,9780486407883,06/23/1999,208,8.26(w) x 5.46(h) x 0.49(d),262,514,4.2,$4.50,$9.95,$2.99,$7.11
22,Blues All around Me: The Autobiography of B. B. King,B. B. King,David Ritz,,HarperCollins Publishers,9780062061034,03/08/2011,368,6.08(w) x 8.98(h) x 0.98(d),1392,,,$12.39,,,
23,El Sicario: The Autobiography of a Mexican Assassin,Molly Molloy,,,Nation Books,9781568586588,05/10/2011,224,5.50(w) x 8.25(h) x 0.56(d),2447,12,3.8,$10.99,,$10.99,
24,Mover of Men and Mountains: The Autobiography,LeTourneau,,,Moody Publishers,9780802438188,06/28/1967,296,4.29(w) x 6.97(h) x 0.82(d),688,7,4.4,$7.99,,$5.49,
25,Autobiography of an Ex-Colored Man and Other Writings (Barnes & Noble Classics Series),James Weldon Johnson,,,Barnes &amp; Noble,9781593082895,04/01/2007,208,5.19(w) x 8.00(h) x 0.52(d),787,7,3.7,$5.35,,$4.49,
26,"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition",Mark Twain,,,University of California Press,9780520272781,10/05/2013,776,7.62(w) x 10.24(h) x 2.42(d),2435,8,4.8,,$33.91,$29.25,$25.22
27,"Play On: Now, Then, and Fleetwood Mac: The Autobiography",Mick Fleetwood,Anthony Bozza,,"Little, Brown and Company",9780316403429,10/28/2014,352,6.10(w) x 9.30(h) x 1.40(d),162,,,$15.78,$21.76,$14.99,$25.63
28,Neil Patrick Harris: Choose Your Own Autobiography,Neil Patrick Harris,,,Crown Publishing Group,9780385346993,10/14/2014,304,5.90(w) x 9.20(h) x 1.10(d),2624,25,3.6,$11.57,$18.75,$11.99,$21.93
