1757,Representing Femininity: Middle-Class Subjectivity in Victorian and Edwardian Women's Autobiographies,"['Mary Jean Corbett', '', '']",01/28/1992,Oxford University Press,2900195068589,
2133,Autobiography of Yukichi Fukuzawa,"['Yukichi Fukuzawa', '', '']",01/02/2007,Columbia University Press,2900231139860,480
2862,Living of Charlotte Perkins Gilman: An Autobiography,"['Charlotte Perkins Gilman', 'Zona Gale', '']",02/28/1991,University of Wisconsin Press,2900299127441,394
2265,Caribbean Autobiography: Cultural Identity and Self-Representation,"['Sandra Pouchet Paquet', '', '']",01/28/2002,University of Chicago Press,2900299176944,
3080,"Living Our Stories, Telling Our Truths: Autobiography and the Making of the African-American Intellectual Tradition","['V. P. Franklin', 'Vincent Paul Franklin', '']",01/28/1996,Simon &amp; Schuster Adult Publishing Group,2900689121929,
1451,The Education of Fanny Lewald: An Autobiography / Edition 1,"['Fanny Lewald', 'Hanna Ballin (Ed. and Translator) Lewis', '']",11/03/1992,State University of New York Press,2900791411482,341
2939,Mary: An Autobiography / Edition 1,"['Mary E. Mebane', '', '']",03/22/1999,The University of North Carolina Press,2900807848219,256
3273,Reading Autobiography: A Guide for Interpreting Life Narratives,"['Sidonie Smith', '', '']",01/01/2001,University of Chicago Press,2900816628833,
1657,Overturned Chariot: The Autobiography of Phan-Boi-Chau,"['Phan Boi Chau', 'Boi Chau Phan', '']",01/01/1999,"University of Hawaii Press, The",2900824818752,
1619,Afrika My Music: An Autobiography 1957-1983,"['Ezekiel Mphahlele', '', '']",12/01/1995,Ohio University Press,2900869754848,260
3413,Afrika My Music: An Autobiography 1957-1983,"['Ezekiel Mphahlele', '', '']",12/01/1995,Ohio University Press,2900869754848,260
1360,Havana: Autobiography of a City,"['Alfredo Jose Estrada', '', '']",03/18/2008,St. Martin's Press,2901403975392,288
1695,Life Under Slavery: Autobiographies of Three American Slaves,"['Lenny Flank', '', '']",11/10/2009,Lenny Flank,2940000721483,
2140,Life Under Slavery: Autobiographies of Three American Slaves,"['Lenny Flank', '', '']",11/10/2009,Lenny Flank,2940000721483,
981,Autobiography of a Pocket Handkerchief,"['James Fenimore Cooper', '', '']",09/01/2009,B&amp;R Samizdat Express,2940000735459,
649,A Burlesque Autobiography,"['Mark Twain', '', '']",09/01/2009,B&amp;R Samizdat Express,2940000737040,
334,Chapters from my Autobiography,"['Mark Twain', '', '']",02/26/2012,B&amp;R Samizdat Express,2940000737101,
333,The Confessions of St. Augustine,"['Saint Augustine', '', '']",09/01/2009,B&amp;R Samizdat Express,2940000739426,
1040,Autobiography: Truth and Fiction Relating to My Life,"['Johann Wolfgang von Goethe', '', '']",12/01/2008,B&amp;R Samizdat Express,2940000749593,
2612,"James Nasmyth: Engineer, an Autobiography","['James Nasmyth', '', '']",01/01/2009,B&amp;R Samizdat Express,2940000764077,
85,Autobiography,"['Thomas Jefferson', '', '']",02/01/2009,B&amp;R Samizdat Express,2940000767344,
637,Autobiography of Ma-Ka-Tai-Me-She-Kia-Kiak or Black Hawk (1882),"['Black Hawk', '', '']",02/01/2009,B&amp;R Samizdat Express,2940000785560,
117,INEZ: An autobiography,"['Jamie Brown', '', '']",11/07/2009,Jamie Brown,2940000790014,
973,Autobiography and Letters of Orville Dewey,"['William Carleton', '', '']",03/01/2010,B&amp;R Samizdat Express,2940000846087,
1057,An Autobiography of Buffalo Bill,"['Alice Emerson', '', '']",03/01/2010,B&amp;R Samizdat Express,2940000846124,
3616,My Life as an Author (Autobiography),"['Martin Farquhar Tupper', '', '']",03/01/2010,B&amp;R Samizdat Express,2940000866894,
1003,The Story of My Heart: an Autobiography,"['Richard Jefferies', '', '']",03/01/2010,B&amp;R Samizdat Express,2940000875308,
98,The Book of Adam: Autobiography of the First Human Clone,"['Robert M. Hopper', '', '']",11/21/2010,Doublethumb Press,2940011139840,
1341,Sh*t Magnet: An Autobiography,"['Stephen J. Schrader', '', '']",04/30/2011,Foremost Press,2940011294198,
2703,Sh*t Magnet: An Autobiography,"['Stephen J. Schrader', '', '']",04/30/2011,Foremost Press,2940011294198,
895,The Autobiography of Jesus Christ,"['Neil Elliott', '', '']",07/18/2011,Neil Elliott,2940011411359,
315,Luna the Autobiography of a Super Cat,"['Luna Challis', '', '']",08/28/2011,Steve Challis,2940011506413,
2262,Theodore Roosevelt; an Autobiography,"['Roosevelt', 'Theodore', '']",11/30/2010,Quality Classics,2940011848933,
559,The Autobiography of St. Ignatius,"['St. Ignatius', '', '']",11/02/2010,WHITE DOG PUBLISHING,2940011892257,
722,The Autobiography of Saint Th�r�se of Lisieux,"['Saint Th�r�se of Lisieux', '', '']",10/29/2010,Therese Books,2940011915932,
1051,"A Burlesque Autobiography and, First Romance","['Mark Twain', '', '']",11/03/2010,WHITE DOG PUBLISHING,2940011919084,
2536,"From Bondage to Liberty in Religion, A Spiritual Autobiography","['GEORGE T. ASHLEY', '', '']",11/23/2010,WHITE DOG PUBLISHING,2940011925337,
446,Mark Twain's Autobiography,"['Mark Twain', '', '']",10/01/2010,Baxter St.,2940011938245,
3641,Fifteen Chapters of Autobiography,"['Russell', 'George William Erskine', '']",11/30/2010,Quality Classics,2940011957413,
944,The Autobiography of Madame Guyon,"['Guyon', 'Jeanne Marie Bouvier de la Motte', '']",11/30/2010,Quality Classics,2940011987762,
3089,"Autobiography, Letters and Literary Remains of Mrs. Piozzi (Thrale) (2nd ed.) (2 vols.)","['Piozzi', 'Hester Lynch', '']",11/30/2010,Quality Classics,2940012031525,
289,THE AUTOBIOGRAPHY OF MARK TWAIN Nook Edition (100th Anniversary Newly Edited and Commented Version) Special Nook Enabled Features The Autobiography of Mark Twain NOOKbook,"['Mark Twain', '', '']",01/25/2011,Literary Classics Press,2940012096456,
149,50 Classic Autobiographies,"['Booker T. Washington', 'Henry David Thoreau', 'John Muir']",02/03/2011,Golgotha Press,2940012105042,
430,A Slave Girl's Story Being an Autobiography of KATE DRUMGOOLD,"['Kate Drumgoold', '', '']",03/13/2011,Robin Michell,2940012187796,
